L,Id1n,Id2n,Id0n,routn,lambdan,Id1p,Id2p,Id0p,routp,lambdap
8.50,2.76E-05,2.78E-05,2.77E-05,2.95E+06,0.0122509,6.12E-06,5.96E-06,6.04E-06,4.92E+06,0.0336713
8.60,2.76E-05,2.78E-05,2.77E-05,2.97E+06,0.012156,6.12E-06,5.96E-06,6.04E-06,4.95E+06,0.0334293
8.70,2.76E-05,2.79E-05,2.77E-05,2.99E+06,0.0120638,6.12E-06,5.96E-06,6.04E-06,4.99E+06,0.0331911
8.80,2.76E-05,2.79E-05,2.77E-05,3.01E+06,0.0119738,6.12E-06,5.96E-06,6.04E-06,5.02E+06,0.0329565
8.90,2.76E-05,2.79E-05,2.78E-05,3.03E+06,0.0118862,6.12E-06,5.96E-06,6.04E-06,5.06E+06,0.0327255
9.00,2.76E-05,2.79E-05,2.78E-05,3.05E+06,0.0118008,6.12E-06,5.97E-06,6.04E-06,5.09E+06,0.0324977
9.10,2.76E-05,2.79E-05,2.78E-05,3.07E+06,0.0117175,6.12E-06,5.97E-06,6.05E-06,5.13E+06,0.0322733
9.20,2.77E-05,2.79E-05,2.78E-05,3.09E+06,0.0116363,6.12E-06,5.97E-06,6.05E-06,5.16E+06,0.0320521
9.30,2.77E-05,2.79E-05,2.78E-05,3.11E+06,0.0115571,6.12E-06,5.97E-06,6.05E-06,5.19E+06,0.0318339
9.40,2.77E-05,2.79E-05,2.78E-05,3.13E+06,0.0114797,6.12E-06,5.97E-06,6.05E-06,5.23E+06,0.0316188
9.50,2.77E-05,2.79E-05,2.78E-05,3.15E+06,0.0114041,6.12E-06,5.97E-06,6.05E-06,5.26E+06,0.0314067
9.60,2.77E-05,2.79E-05,2.78E-05,3.17E+06,0.0113304,6.12E-06,5.97E-06,6.05E-06,5.30E+06,0.0311974
9.70,2.77E-05,2.80E-05,2.78E-05,3.19E+06,0.0112582,6.12E-06,5.97E-06,6.05E-06,5.33E+06,0.030991
9.80,2.77E-05,2.80E-05,2.79E-05,3.21E+06,0.0111877,6.12E-06,5.97E-06,6.05E-06,5.37E+06,0.0307873
9.90,2.77E-05,2.80E-05,2.79E-05,3.23E+06,0.0111189,6.12E-06,5.98E-06,6.05E-06,5.40E+06,0.0305863
10.00,2.77E-05,2.80E-05,2.79E-05,3.25E+06,0.0110514,6.12E-06,5.98E-06,6.05E-06,5.44E+06,0.0303878
