f	Au	phase
1.73780082874939e+05	3.56897666942475e+01	1.38194415558008e+02
1.81970085861000e+05	3.55075593512507e+01	1.36879805487853e+02
1.90546071796326e+05	3.53161851177010e+01	1.35561160595641e+02
1.99526231496890e+05	3.51156075490677e+01	1.34241260602562e+02
2.08929613085406e+05	3.49058290937364e+01	1.32922898065434e+02
2.18776162394957e+05	3.46868910517496e+01	1.31608848865868e+02
2.29086765276779e+05	3.44588728804070e+01	1.30301843125024e+02
2.39883291901951e+05	3.42218908713812e+01	1.29004537280626e+02
2.51188643150960e+05	3.39760962456984e+01	1.27719488008346e+02
2.63026799189540e+05	3.37216727318727e+01	1.26449128584778e+02
2.75422870333819e+05	3.34588337076456e+01	1.25195748180242e+02
2.88403150312663e+05	3.31878189964874e+01	1.23961474444134e+02
3.01995172040204e+05	3.29088914159259e+01	1.22748259611931e+02
3.16227766016841e+05	3.26223331759413e+01	1.21557870229378e+02
3.31131121482594e+05	3.23284422224554e+01	1.20391880463388e+02
3.46736850452535e+05	3.20275286139923e+01	1.19251668856868e+02
3.63078054770105e+05	3.17199110096989e+01	1.18138418290554e+02
3.80189396320565e+05	3.14059133349767e+01	1.17053118841614e+02
3.98107170553501e+05	3.10858616778967e+01	1.15996573177317e+02
4.16869383470339e+05	3.07600814561694e+01	1.14969404091753e+02
4.36515832240170e+05	3.04288948814343e+01	1.13972063782761e+02
4.57088189614879e+05	3.00926187355899e+01	1.13004844472103e+02
4.78630092322643e+05	2.97515624631958e+01	1.12067889991477e+02
5.01187233627277e+05	2.94060265749064e+01	1.11161207986743e+02
5.24807460249778e+05	2.90563013495322e+01	1.10284682429633e+02
5.49540873857630e+05	2.87026658166798e+01	1.09438086167127e+02
5.75439937337162e+05	2.83453869978831e+01	1.08621093281200e+02
6.02559586074364e+05	2.79847193815562e+01	1.07833291073617e+02
6.30957344480199e+05	2.76209046057752e+01	1.07074191530324e+02
6.60693448007602e+05	2.72541713226136e+01	1.06343242156676e+02
6.91830970918943e+05	2.68847352183098e+01	1.05639836107445e+02
7.24435960074997e+05	2.65127991647248e+01	1.04963321564082e+02
7.58577575029191e+05	2.61385534791816e+01	1.04313010335784e+02
7.94328234724290e+05	2.57621762716999e+01	1.03688185680834e+02
8.31763771102679e+05	2.53838338607259e+01	1.03088109360616e+02
8.70963589956090e+05	2.50036812405991e+01	1.02512027951079e+02
9.12010839355919e+05	2.46218625861152e+01	1.01959178445638e+02
9.54992586021446e+05	2.42385117815769e+01	1.01428793189966e+02
1.00000000000001e+06	2.38537529636308e+01	1.00920104193345e+02
1.04712854805091e+06	2.34677010689409e+01	1.00432346863545e+02
1.09647819614320e+06	2.30804623793355e+01	9.99647632130047e+01
1.14815362149689e+06	2.26921350584788e+01	9.95166045836649e+01
1.20226443461743e+06	2.23028096753569e+01	9.90871339365598e+01
1.25892541179418e+06	2.19125697109520e+01	9.86756277502622e+01
1.31825673855642e+06	2.15214920454023e+01	9.82813775699030e+01
1.38038426460290e+06	2.11296474237298e+01	9.79036912457574e+01
1.44543977074594e+06	2.07371008988794e+01	9.75418938975262e+01
1.51356124843622e+06	2.03439122513575e+01	9.71953286375093e+01
1.58489319246113e+06	1.99501363852024e+01	9.68633570829617e+01
1.65958690743758e+06	1.95558237003811e+01	9.65453596850896e+01
1.73780082874939e+06	1.91610204419910e+01	9.62407358994394e+01
1.81970085861000e+06	1.87657690268627e+01	9.59489042198682e+01
1.90546071796327e+06	1.83701083483337e+01	9.56693020958970e+01
1.99526231496890e+06	1.79740740600773e+01	9.54013857510287e+01
2.08929613085406e+06	1.75776988399622e+01	9.51446299175754e+01
2.18776162394958e+06	1.71810126349666e+01	9.48985275016797e+01
2.29086765276780e+06	1.67840428882050e+01	9.46625891905233e+01
2.39883291901952e+06	1.63868147491294e+01	9.44363430121901e+01
2.51188643150961e+06	1.59893512679644e+01	9.42193338572724e+01
2.63026799189541e+06	1.55916735754138e+01	9.40111229700808e+01
2.75422870333820e+06	1.51938010486496e+01	9.38112874162130e+01
2.88403150312664e+06	1.47957514645574e+01	9.36194195322548e+01
3.01995172040205e+06	1.43975411411732e+01	9.34351263625151e+01
3.16227766016842e+06	1.39991850682032e+01	9.32580290869188e+01
3.31131121482595e+06	1.36006970274710e+01	9.30877624434955e+01
3.46736850452536e+06	1.32020897040928e+01	9.29239741482926e+01
3.63078054770106e+06	1.28033747891305e+01	9.27663243150027e+01
3.80189396320566e+06	1.24045630744314e+01	9.26144848761169e+01
3.98107170553502e+06	1.20056645403112e+01	9.24681390069948e+01
4.16869383470341e+06	1.16066884366986e+01	9.23269805538637e+01
4.36515832240172e+06	1.12076433583114e+01	9.21907134664303e+01
4.57088189614881e+06	1.08085373143947e+01	9.20590512354857e+01
4.78630092322645e+06	1.04093777935093e+01	9.19317163356257e+01
5.01187233627279e+06	1.00101718238190e+01	9.18084396729648e+01
5.24807460249779e+06	9.61092602928690e+00	9.16889600375126e+01
5.49540873857632e+06	9.21164668214977e+00	9.15730235596890e+01
5.75439937337165e+06	8.81233975200601e+00	9.14603831702815e+01
6.02559586074366e+06	8.41301095180979e+00	9.13507980629949e+01
6.30957344480202e+06	8.01366578102925e+00	9.12440331586066e+01
6.60693448007605e+06	7.61430956618530e+00	9.11398585696222e+01
6.91830970918946e+06	7.21494749894885e+00	9.10380490642276e+01
7.24435960075000e+06	6.81558467193172e+00	9.09383835282517e+01
7.58577575029194e+06	6.41622611226373e+00	9.08406444238044e+01
7.94328234724292e+06	6.01687681300265e+00	9.07446172432226e+01
8.31763771102682e+06	5.61754176237624e+00	9.06500899569707e+01
8.70963589956093e+06	5.21822597080566e+00	9.05568524541859e+01
9.12010839355922e+06	4.81893449560757e+00	9.04646959746612e+01
9.54992586021449e+06	4.41967246321869e+00	9.03734125312122e+01
1.00000000000001e+07	4.02044508873243e+00	9.02827943216038e+01
1.04712854805091e+07	3.62125769248336e+00	9.01926331295156e+01
1.09647819614320e+07	3.22211571336397e+00	9.01027197144300e+01
1.14815362149690e+07	2.82302471851173e+00	9.00128431908256e+01
1.20226443461743e+07	2.42399040896601e+00	8.99227903976802e+01
1.25892541179419e+07	2.02501862086838e+00	8.98323452600275e+01
1.31825673855643e+07	1.62611532177062e+00	8.97412881451733e+01
1.38038426460290e+07	1.22728660162906e+00	8.96493952171684e+01
1.44543977074595e+07	8.28538658107053e-01	8.95564377942247e+01
1.51356124843623e+07	4.29877775887987e-01	8.94621817149461e+01
1.58489319246114e+07	3.13102998253262e-02	8.93663867204701e+01
1.65958690743759e+07	-3.67157398068302e-01	8.92688058608369e+01
1.73780082874940e+07	-7.65518957559129e-01	8.91691849350380e+01
1.81970085861001e+07	-1.16376807453021e+00	8.90672619751603e+01
1.90546071796328e+07	-1.56189854983821e+00	8.89627667857147e+01
1.99526231496891e+07	-1.95990434139579e+00	8.88554205495003e+01
2.08929613085407e+07	-2.35777961772622e+00	8.87449355110667e+01
2.18776162394959e+07	-2.75551881074452e+00	8.86310147478656e+01
2.29086765276781e+07	-3.15311666501825e+00	8.85133520374133e+01
2.39883291901953e+07	-3.55056828028338e+00	8.83916318261248e+01
2.51188643150962e+07	-3.94786914357248e+00	8.82655293019073e+01
2.63026799189542e+07	-4.34501514699926e+00	8.81347105681394e+01
2.75422870333821e+07	-4.74200258707760e+00	8.79988329114496e+01
2.88403150312665e+07	-5.13882814147934e+00	8.78575451499678e+01
3.01995172040206e+07	-5.53548881938591e+00	8.77104880427798e+01
3.16227766016843e+07	-5.93198188208737e+00	8.75572947355915e+01
3.31131121482596e+07	-6.32830473122997e+00	8.73975912125849e+01
3.46736850452537e+07	-6.72445476309028e+00	8.72309967206323e+01
3.63078054770107e+07	-7.12042918841449e+00	8.70571241299089e+01
3.80189396320567e+07	-7.51622481863657e+00	8.68755801948970e+01
3.98107170553504e+07	-7.91183782058934e+00	8.66859656820656e+01
4.16869383470342e+07	-8.30726344304686e+00	8.64878753351947e+01
4.36515832240173e+07	-8.70249571948202e+00	8.62808976562429e+01
4.57088189614883e+07	-9.09752715219618e+00	8.60646144884628e+01
4.78630092322646e+07	-9.49234838340588e+00	8.58386003985893e+01
5.01187233627281e+07	-9.88694785891218e+00	8.56024218656746e+01
5.24807460249781e+07	-1.02813114896254e+01	8.53556362947715e+01
5.49540873857634e+07	-1.06754223155006e+01	8.50977908834444e+01
5.75439937337167e+07	-1.10692601754217e+01	8.48284213773986e+01
6.02559586074368e+07	-1.14628013853428e+01	8.45470507579152e+01
6.30957344480204e+07	-1.18560184256562e+01	8.42531879080030e+01
6.60693448007607e+07	-1.22488796374197e+01	8.39463263062310e+01
6.91830970918948e+07	-1.26413489258321e+01	8.36259427972376e+01
7.24435960075002e+07	-1.30333854682882e+01	8.32914964862922e+01
7.58577575029197e+07	-1.34249434235298e+01	8.29424278024497e+01
7.94328234724295e+07	-1.38159716378692e+01	8.25781577712957e+01
8.31763771102685e+07	-1.42064133442264e+01	8.21980875345261e+01
8.70963589956096e+07	-1.45962058497649e+01	8.18015981500751e+01
9.12010839355925e+07	-1.49852802082302e+01	8.13880507035566e+01
9.54992586021452e+07	-1.53735608736495e+01	8.09567867596590e+01
1.00000000000000e+08	-1.57609653328165e+01	8.05071291809573e+01
