f	Au	phase
1.00000000000000e+03	3.82397976000734e+01	1.79705222133863e+02
1.04712854805090e+03	3.82397865157009e+01	1.79691329943566e+02
1.09647819614319e+03	3.82397743619607e+01	1.79676783073404e+02
1.14815362149688e+03	3.82397610356886e+01	1.79661550675030e+02
1.20226443461741e+03	3.82397464237688e+01	1.79645600447108e+02
1.25892541179417e+03	3.82397304021739e+01	1.79628898566971e+02
1.31825673855641e+03	3.82397128349123e+01	1.79611409619061e+02
1.38038426460289e+03	3.82396935728747e+01	1.79593096520030e+02
1.44543977074593e+03	3.82396724525686e+01	1.79573920440329e+02
1.51356124843621e+03	3.82396492947316e+01	1.79553840722131e+02
1.58489319246111e+03	3.82396239028101e+01	1.79532814793419e+02
1.65958690743756e+03	3.82395960612925e+01	1.79510798078065e+02
1.73780082874938e+03	3.82395655338807e+01	1.79487743901710e+02
1.81970085860999e+03	3.82395320614858e+01	1.79463603393259e+02
1.90546071796325e+03	3.82394953600312e+01	1.79438325381789e+02
1.99526231496888e+03	3.82394551180430e+01	1.79411856288669e+02
2.08929613085404e+03	3.82394109940089e+01	1.79384140014662e+02
2.18776162394956e+03	3.82393626134828e+01	1.79355117821796e+02
2.29086765276778e+03	3.82393095659103e+01	1.79324728209767e+02
2.39883291901949e+03	3.82392514011484e+01	1.79292906786628e+02
2.51188643150958e+03	3.82391876256506e+01	1.79259586133512e+02
2.63026799189539e+03	3.82391176982842e+01	1.79224695663133e+02
2.75422870333817e+03	3.82390410257457e+01	1.79188161471781e+02
2.88403150312661e+03	3.82389569575347e+01	1.79149906184548e+02
3.01995172040202e+03	3.82388647804449e+01	1.79109848793472e+02
3.16227766016838e+03	3.82387637125242e+01	1.79067904488321e+02
3.31131121482592e+03	3.82386528964562e+01	1.79023984479693e+02
3.46736850452532e+03	3.82385313923037e+01	1.78977995814120e+02
3.63078054770102e+03	3.82383981695568e+01	1.78929841180849e+02
3.80189396320562e+03	3.82382520984166e+01	1.78879418709963e+02
3.98107170553498e+03	3.82380919402429e+01	1.78826621761500e+02
4.16869383470336e+03	3.82379163370858e+01	1.78771338705227e+02
4.36515832240167e+03	3.82377238002134e+01	1.78713452690707e+02
4.57088189614876e+03	3.82375126975413e+01	1.78652841407308e+02
4.78630092322639e+03	3.82372812398576e+01	1.78589376833795e+02
5.01187233627274e+03	3.82370274657314e+01	1.78522924977133e+02
5.24807460249774e+03	3.82367492249782e+01	1.78453345600164e+02
5.49540873857626e+03	3.82364441605466e+01	1.78380491937787e+02
5.75439937337158e+03	3.82361096886768e+01	1.78304210401305e+02
6.02559586074359e+03	3.82357429771690e+01	1.78224340270614e+02
6.30957344480195e+03	3.82353409215830e+01	1.78140713373907e+02
6.60693448007598e+03	3.82349001191760e+01	1.78053153754613e+02
6.91830970918938e+03	3.82344168403661e+01	1.77961477325307e+02
7.24435960074992e+03	3.82338869974930e+01	1.77865491508375e+02
7.58577575029186e+03	3.82333061106226e+01	1.77764994863240e+02
7.94328234724284e+03	3.82326692701237e+01	1.77659776700045e+02
8.31763771102673e+03	3.82319710957196e+01	1.77549616679740e+02
8.70963589956083e+03	3.82312056916908e+01	1.77434284400591e+02
9.12010839355913e+03	3.82303665978780e+01	1.77313538971253e+02
9.54992586021439e+03	3.82294467361059e+01	1.77187128570644e+02
1.00000000000000e+04	3.82284383516136e+01	1.77054789995005e+02
1.04712854805090e+04	3.82273329490475e+01	1.76916248192688e+02
1.09647819614319e+04	3.82261212225315e+01	1.76771215787406e+02
1.14815362149689e+04	3.82247929792965e+01	1.76619392590885e+02
1.20226443461742e+04	3.82233370563068e+01	1.76460465106146e+02
1.25892541179417e+04	3.82217412292810e+01	1.76294106022893e+02
1.31825673855641e+04	3.82199921134609e+01	1.76119973706871e+02
1.38038426460289e+04	3.82180750554354e+01	1.75937711685420e+02
1.44543977074593e+04	3.82159740152818e+01	1.75746948131910e+02
1.51356124843621e+04	3.82136714382385e+01	1.75547295352275e+02
1.58489319246112e+04	3.82111481150772e+01	1.75338349277426e+02
1.65958690743757e+04	3.82083830302947e+01	1.75119688966018e+02
1.73780082874938e+04	3.82053531972050e+01	1.74890876122816e+02
1.81970085860999e+04	3.82020334789657e+01	1.74651454638732e+02
1.90546071796326e+04	3.81983963945430e+01	1.74400950159640e+02
1.99526231496889e+04	3.81944119085881e+01	1.74138869692134e+02
2.08929613085405e+04	3.81900472041804e+01	1.73864701255634e+02
2.18776162394956e+04	3.81852664373859e+01	1.73577913591663e+02
2.29086765276778e+04	3.81800304725922e+01	1.73277955942585e+02
2.39883291901950e+04	3.81742965976083e+01	1.72964257913873e+02
2.51188643150959e+04	3.81680182175792e+01	1.72636229435783e+02
2.63026799189540e+04	3.81611445268478e+01	1.72293260842398e+02
2.75422870333818e+04	3.81536201580286e+01	1.71934723088228e+02
2.88403150312662e+04	3.81453848077254e+01	1.71559968124953e+02
3.01995172040203e+04	3.81363728385563e+01	1.71168329463477e+02
3.16227766016840e+04	3.81265128574410e+01	1.70759122949169e+02
3.31131121482593e+04	3.81157272704743e+01	1.70331647781023e+02
3.46736850452534e+04	3.81039318151655e+01	1.69885187808352e+02
3.63078054770103e+04	3.80910350713869e+01	1.69419013141584e+02
3.80189396320563e+04	3.80769379530406e+01	1.68932382116552e+02
3.98107170553500e+04	3.80615331832623e+01	1.68424543654363e+02
4.16869383470338e+04	3.80447047569199e+01	1.67894740061295e+02
4.36515832240169e+04	3.80263273952663e+01	1.67342210315036e+02
4.57088189614878e+04	3.80062659988677e+01	1.66766193884788e+02
4.78630092322641e+04	3.79843751063651e+01	1.66165935133024e+02
5.01187233627276e+04	3.79604983682298e+01	1.65540688345682e+02
5.24807460249776e+04	3.79344680464515e+01	1.64889723435107e+02
5.49540873857628e+04	3.79061045530177e+01	1.64212332355531e+02
5.75439937337161e+04	3.78752160420891e+01	1.63507836264125e+02
6.02559586074362e+04	3.78415980729023e+01	1.62775593451046e+02
6.30957344480198e+04	3.78050333625672e+01	1.62015008049118e+02
6.60693448007601e+04	3.77652916500002e+01	1.61225539517360e+02
6.91830970918941e+04	3.77221296941281e+01	1.60406712872154e+02
7.24435960074995e+04	3.76752914310818e+01	1.59558129615207e+02
7.58577575029189e+04	3.76245083162119e+01	1.58679479278394e+02
7.94328234724287e+04	3.75694998772147e+01	1.57770551472343e+02
8.31763771102677e+04	3.75099745042623e+01	1.56831248288490e+02
8.70963589956087e+04	3.74456305015526e+01	1.55861596864102e+02
9.12010839355916e+04	3.73761574219473e+01	1.54861761877653e+02
9.54992586021443e+04	3.73012377021297e+01	1.53832057699487e+02
1.00000000000001e+05	3.72205486098566e+01	1.52772959882130e+02
1.04712854805091e+05	3.71337645073027e+01	1.51685115638456e+02
1.09647819614319e+05	3.70405594252084e+01	1.50569352927221e+02
1.14815362149689e+05	3.69406099316668e+01	1.49426687747464e+02
1.20226443461742e+05	3.68335982671979e+01	1.48258329239317e+02
1.25892541179418e+05	3.67192157046627e+01	1.47065682201916e+02
1.31825673855642e+05	3.65971660791740e+01	1.45850346671977e+02
1.38038426460290e+05	3.64671694201710e+01	1.44614114260826e+02
1.44543977074594e+05	3.63289656060997e+01	1.43358961023673e+02
1.51356124843622e+05	3.61823179525704e+01	1.42087036731520e+02
1.58489319246113e+05	3.60270166383405e+01	1.40800650530418e+02
1.65958690743757e+05	3.58628818707827e+01	1.39502253100099e+02
