f	Au	phase
1.58489319246114e+07	-3.08690769351439e-02	9.49907825538619e+01
1.65958690743759e+07	-4.25484862639234e-01	9.46202583935049e+01
1.73780082874940e+07	-8.20508240978489e-01	9.42591139893821e+01
1.81970085861001e+07	-1.21589832306223e+00	9.39066391320559e+01
1.90546071796328e+07	-1.61161711069347e+00	9.35621352823128e+01
1.99526231496891e+07	-2.00762921109374e+00	9.32249149770408e+01
2.08929613085407e+07	-2.40390156777167e+00	9.28943011573971e+01
2.18776162394959e+07	-2.80040320623985e+00	9.25696264307939e+01
2.29086765276781e+07	-3.19710499325951e+00	9.22502322768140e+01
2.39883291901953e+07	-3.59397940827936e+00	9.19354682059115e+01
2.51188643150962e+07	-3.99100032573237e+00	9.16246908786515e+01
2.63026799189542e+07	-4.38814280685809e+00	9.13172631922880e+01
2.75422870333821e+07	-4.78538289972576e+00	9.10125533406602e+01
2.88403150312665e+07	-5.18269744614424e+00	9.07099338526950e+01
3.01995172040206e+07	-5.58006389415594e+00	9.04087806142367e+01
3.16227766016843e+07	-5.97746011482205e+00	9.01084718774669e+01
3.31131121482596e+07	-6.37486422201616e+00	8.98083872618358e+01
3.46736850452537e+07	-6.77225439394951e+00	8.95079067501836e+01
3.63078054770107e+07	-7.16960869515590e+00	8.92064096835956e+01
3.80189396320567e+07	-7.56690489766475e+00	8.89032737584976e+01
3.98107170553504e+07	-7.96412030008944e+00	8.85978740295614e+01
4.16869383470342e+07	-8.36123154335264e+00	8.82895819221575e+01
4.36515832240173e+07	-8.75821442176323e+00	8.79777642583587e+01
4.57088189614883e+07	-9.15504368814943e+00	8.76617823008746e+01
4.78630092322646e+07	-9.55169285174230e+00	8.73409908197817e+01
5.01187233627281e+07	-9.94813396749228e+00	8.70147371875185e+01
5.24807460249781e+07	-1.03443374154920e+01	8.66823605083373e+01
5.49540873857634e+07	-1.07402716691707e+01	8.63431907892628e+01
5.75439937337167e+07	-1.11359030509253e+01	8.59965481606032e+01
6.02559586074368e+07	-1.15311954738549e+01	8.56417421551993e+01
6.30957344480204e+07	-1.19261101682858e+01	8.52780710568997e+01
6.60693448007607e+07	-1.23206053918006e+01	8.49048213302132e+01
6.91830970918948e+07	-1.27146361215343e+01	8.45212671447288e+01
7.24435960075002e+07	-1.31081537275732e+01	8.41266700097128e+01
7.58577575029197e+07	-1.35011056263919e+01	8.37202785362946e+01
7.94328234724295e+07	-1.38934349134029e+01	8.33013283468455e+01
8.31763771102685e+07	-1.42850799738720e+01	8.28690421535210e+01
8.70963589956096e+07	-1.46759740716914e+01	8.24226300304858e+01
9.12010839355925e+07	-1.50660449157940e+01	8.19612899070346e+01
9.54992586021452e+07	-1.54552142043678e+01	8.14842083116437e+01
1.00000000000000e+08	-1.58433971474841e+01	8.09905613998920e+01
