vout2	Id(M3)	Id(M4)
0.000000000000000e+00	5.439211e-05	1.088618e-04
1.000000000000000e-03	5.439211e-05	1.088618e-04
2.000000000000000e-03	5.439211e-05	1.088617e-04
3.000000000000000e-03	5.439211e-05	1.088617e-04
4.000000000000000e-03	5.439211e-05	1.088616e-04
5.000000000000000e-03	5.439211e-05	1.088615e-04
6.000000000000000e-03	5.439211e-05	1.088615e-04
7.000000000000000e-03	5.439211e-05	1.088614e-04
8.000000000000000e-03	5.439211e-05	1.088614e-04
9.000000000000001e-03	5.439211e-05	1.088613e-04
1.000000000000000e-02	5.439211e-05	1.088613e-04
1.100000000000000e-02	5.439211e-05	1.088612e-04
1.200000000000000e-02	5.439211e-05	1.088611e-04
1.300000000000000e-02	5.439211e-05	1.088611e-04
1.400000000000001e-02	5.439211e-05	1.088610e-04
1.500000000000001e-02	5.439211e-05	1.088610e-04
1.600000000000001e-02	5.439211e-05	1.088609e-04
1.700000000000001e-02	5.439211e-05	1.088608e-04
1.800000000000001e-02	5.439211e-05	1.088608e-04
1.900000000000001e-02	5.439211e-05	1.088607e-04
2.000000000000001e-02	5.439211e-05	1.088607e-04
2.100000000000001e-02	5.439211e-05	1.088606e-04
2.200000000000001e-02	5.439211e-05	1.088606e-04
2.300000000000001e-02	5.439211e-05	1.088605e-04
2.400000000000001e-02	5.439211e-05	1.088604e-04
2.500000000000002e-02	5.439211e-05	1.088604e-04
2.600000000000002e-02	5.439211e-05	1.088603e-04
2.700000000000002e-02	5.439211e-05	1.088603e-04
2.800000000000002e-02	5.439211e-05	1.088602e-04
2.900000000000002e-02	5.439211e-05	1.088601e-04
3.000000000000002e-02	5.439211e-05	1.088601e-04
3.100000000000002e-02	5.439211e-05	1.088600e-04
3.200000000000002e-02	5.439211e-05	1.088600e-04
3.300000000000002e-02	5.439211e-05	1.088599e-04
3.400000000000002e-02	5.439211e-05	1.088599e-04
3.500000000000002e-02	5.439211e-05	1.088598e-04
3.600000000000003e-02	5.439211e-05	1.088597e-04
3.700000000000003e-02	5.439211e-05	1.088597e-04
3.800000000000003e-02	5.439211e-05	1.088596e-04
3.900000000000003e-02	5.439211e-05	1.088596e-04
4.000000000000003e-02	5.439211e-05	1.088595e-04
4.100000000000003e-02	5.439211e-05	1.088595e-04
4.200000000000003e-02	5.439211e-05	1.088594e-04
4.300000000000003e-02	5.439211e-05	1.088593e-04
4.400000000000003e-02	5.439211e-05	1.088593e-04
4.500000000000003e-02	5.439211e-05	1.088592e-04
4.600000000000003e-02	5.439211e-05	1.088592e-04
4.700000000000003e-02	5.439211e-05	1.088591e-04
4.800000000000004e-02	5.439211e-05	1.088591e-04
4.900000000000004e-02	5.439211e-05	1.088590e-04
5.000000000000004e-02	5.439211e-05	1.088589e-04
5.100000000000004e-02	5.439211e-05	1.088589e-04
5.200000000000004e-02	5.439211e-05	1.088588e-04
5.300000000000004e-02	5.439211e-05	1.088588e-04
