vout3	Id(M7)	Id(M8)
0.000000000000000e+00	5.765237e-11	0.000000e+00
1.000000000000000e-03	5.911069e-11	4.117744e-12
2.000000000000000e-03	6.061388e-11	8.411720e-12
3.000000000000000e-03	6.215737e-11	1.274428e-11
4.000000000000000e-03	6.374344e-11	1.716019e-11
5.000000000000000e-03	6.537326e-11	2.165857e-11
6.000000000000000e-03	6.704804e-11	2.623856e-11
7.000000000000000e-03	6.876901e-11	3.089935e-11
8.000000000000000e-03	7.053744e-11	3.564010e-11
9.000000000000001e-03	7.235463e-11	4.046009e-11
1.000000000000000e-02	7.422193e-11	4.535864e-11
1.100000000000000e-02	7.614070e-11	5.033516e-11
1.200000000000000e-02	7.811238e-11	5.538918e-11
1.300000000000000e-02	8.013840e-11	6.052036e-11
1.400000000000001e-02	8.222027e-11	6.572851e-11
1.500000000000001e-02	8.435951e-11	7.101362e-11
1.600000000000001e-02	8.655770e-11	7.637586e-11
1.700000000000001e-02	8.881646e-11	8.181561e-11
1.800000000000001e-02	9.113745e-11	8.733348e-11
1.900000000000001e-02	9.352238e-11	9.293032e-11
2.000000000000001e-02	9.597301e-11	9.860724e-11
2.100000000000001e-02	9.849114e-11	1.043656e-10
2.200000000000001e-02	1.010786e-10	1.102071e-10
2.300000000000001e-02	1.037373e-10	1.161336e-10
2.400000000000001e-02	1.064693e-10	1.221473e-10
2.500000000000002e-02	1.092764e-10	1.282509e-10
2.600000000000002e-02	1.121609e-10	1.344470e-10
2.700000000000002e-02	1.151247e-10	1.407388e-10
2.800000000000002e-02	1.181701e-10	1.471298e-10
2.900000000000002e-02	1.212993e-10	1.536235e-10
3.000000000000002e-02	1.245146e-10	1.602240e-10
3.100000000000002e-02	1.278184e-10	1.669354e-10
3.200000000000002e-02	1.312131e-10	1.737623e-10
3.300000000000002e-02	1.347012e-10	1.807093e-10
3.400000000000002e-02	1.382852e-10	1.877816e-10
3.500000000000002e-02	1.419677e-10	1.949842e-10
3.600000000000003e-02	1.457516e-10	2.023226e-10
3.700000000000003e-02	1.496394e-10	2.098025e-10
3.800000000000003e-02	1.536342e-10	2.174296e-10
3.900000000000003e-02	1.577388e-10	2.252100e-10
4.000000000000003e-02	1.619562e-10	2.331499e-10
4.100000000000003e-02	1.662895e-10	2.412558e-10
4.200000000000003e-02	1.707418e-10	2.495340e-10
4.300000000000003e-02	1.753166e-10	2.579915e-10
4.400000000000003e-02	1.800169e-10	2.666350e-10
4.500000000000003e-02	1.848464e-10	2.754715e-10
4.600000000000003e-02	1.898086e-10	2.845084e-10
4.700000000000003e-02	1.949070e-10	2.937529e-10
4.800000000000004e-02	2.001454e-10	3.032125e-10
4.900000000000004e-02	2.055276e-10	3.128948e-10
5.000000000000004e-02	2.110576e-10	3.228078e-10
5.100000000000004e-02	2.167394e-10	3.329594e-10
5.200000000000004e-02	2.225771e-10	3.433577e-10
5.300000000000004e-02	2.285750e-10	3.540110e-10
5.400000000000004e-02	2.347374e-10	3.649278e-10
5.500000000000004e-02	2.410689e-10	3.761168e-10
5.600000000000004e-02	2.475740e-10	3.875867e-10
5.700000000000004e-02	2.542576e-10	3.993467e-10
5.800000000000004e-02	2.611244e-10	4.114058e-10
5.900000000000005e-02	2.681795e-10	4.237735e-10
6.000000000000005e-02	2.754280e-10	4.364595e-10
6.100000000000005e-02	2.828751e-10	4.494734e-10
6.200000000000005e-02	2.905263e-10	4.628255e-10
6.300000000000004e-02	2.983872e-10	4.765259e-10
6.400000000000004e-02	3.064634e-10	4.905853e-10
6.500000000000004e-02	3.147609e-10	5.050142e-10
6.600000000000004e-02	3.232856e-10	5.198238e-10
6.700000000000005e-02	3.320437e-10	5.350253e-10
6.800000000000005e-02	3.410416e-10	5.506302e-10
6.900000000000005e-02	3.502858e-10	5.666504e-10
7.000000000000005e-02	3.597830e-10	5.830980e-10
7.100000000000005e-02	3.695401e-10	5.999852e-10
7.200000000000005e-02	3.795641e-10	6.173250e-10
7.300000000000005e-02	3.898624e-10	6.351302e-10
7.400000000000005e-02	4.004423e-10	6.534143e-10
7.500000000000005e-02	4.113115e-10	6.721909e-10
7.600000000000005e-02	4.224779e-10	6.914740e-10
7.700000000000005e-02	4.339495e-10	7.112781e-10
7.800000000000006e-02	4.457347e-10	7.316179e-10
7.900000000000006e-02	4.578419e-10	7.525086e-10
8.000000000000006e-02	4.702798e-10	7.739656e-10
8.100000000000006e-02	4.830575e-10	7.960048e-10
8.200000000000006e-02	4.961842e-10	8.186428e-10
8.300000000000006e-02	5.096693e-10	8.418961e-10
8.400000000000006e-02	5.235225e-10	8.657819e-10
8.500000000000006e-02	5.377538e-10	8.903182e-10
8.600000000000006e-02	5.523734e-10	9.155227e-10
8.700000000000006e-02	5.673920e-10	9.414142e-10
8.800000000000006e-02	5.828201e-10	9.680118e-10
8.900000000000007e-02	5.986691e-10	9.953350e-10
9.000000000000007e-02	6.149501e-10	1.023404e-09
9.100000000000007e-02	6.316749e-10	1.052239e-09
9.200000000000007e-02	6.488556e-10	1.081862e-09
9.300000000000007e-02	6.665044e-10	1.112294e-09
9.400000000000007e-02	6.846340e-10	1.143558e-09
9.500000000000007e-02	7.032573e-10	1.175677e-09
9.600000000000007e-02	7.223878e-10	1.208673e-09
9.700000000000007e-02	7.420390e-10	1.242572e-09
9.800000000000007e-02	7.622251e-10	1.277398e-09
9.900000000000007e-02	7.829605e-10	1.313176e-09
1.000000000000001e-01	8.042599e-10	1.349932e-09
1.010000000000001e-01	8.261386e-10	1.387695e-09
1.020000000000001e-01	8.486122e-10	1.426490e-09
1.030000000000001e-01	8.716967e-10	1.466346e-09
1.040000000000001e-01	8.954085e-10	1.507293e-09
1.050000000000001e-01	9.197647e-10	1.549359e-09
1.060000000000001e-01	9.447824e-10	1.592576e-09
1.070000000000001e-01	9.704795e-10	1.636976e-09
1.080000000000001e-01	9.968741e-10	1.682589e-09
1.090000000000001e-01	1.023985e-09	1.729450e-09
1.100000000000001e-01	1.051832e-09	1.777592e-09
1.110000000000001e-01	1.080434e-09	1.827051e-09
1.120000000000001e-01	1.109812e-09	1.877861e-09
1.130000000000001e-01	1.139986e-09	1.930061e-09
1.140000000000001e-01	1.170979e-09	1.983687e-09
1.150000000000001e-01	1.202811e-09	2.038778e-09
1.160000000000001e-01	1.235505e-09	2.095374e-09
1.170000000000001e-01	1.269084e-09	2.153516e-09
1.180000000000001e-01	1.303573e-09	2.213247e-09
1.190000000000001e-01	1.338995e-09	2.274608e-09
1.200000000000001e-01	1.375376e-09	2.337644e-09
1.210000000000001e-01	1.412740e-09	2.402401e-09
1.220000000000001e-01	1.451115e-09	2.468924e-09
1.230000000000001e-01	1.490528e-09	2.537263e-09
1.240000000000001e-01	1.531005e-09	2.607465e-09
1.250000000000001e-01	1.572576e-09	2.679581e-09
1.260000000000001e-01	1.615269e-09	2.753664e-09
1.270000000000001e-01	1.659115e-09	2.829765e-09
1.280000000000001e-01	1.704144e-09	2.907939e-09
1.290000000000001e-01	1.750388e-09	2.988243e-09
1.300000000000001e-01	1.797879e-09	3.070734e-09
1.310000000000001e-01	1.846651e-09	3.155470e-09
1.320000000000001e-01	1.896737e-09	3.242512e-09
1.330000000000001e-01	1.948172e-09	3.331922e-09
1.340000000000001e-01	2.000993e-09	3.423764e-09
1.350000000000001e-01	2.055236e-09	3.518103e-09
1.360000000000001e-01	2.110938e-09	3.615006e-09
1.370000000000001e-01	2.168139e-09	3.714542e-09
1.380000000000001e-01	2.226878e-09	3.816781e-09
1.390000000000001e-01	2.287197e-09	3.921797e-09
1.400000000000001e-01	2.349136e-09	4.029662e-09
1.410000000000001e-01	2.412739e-09	4.140455e-09
1.420000000000001e-01	2.478050e-09	4.254253e-09
1.430000000000001e-01	2.545114e-09	4.371136e-09
1.440000000000001e-01	2.613977e-09	4.491187e-09
1.450000000000001e-01	2.684687e-09	4.614491e-09
