vout	Id(M1)	Id(M2)
0.000000000000000e+00	2.459116e-05	0.000000e+00
1.000000000000000e-03	2.459116e-05	5.628102e-07
2.000000000000000e-03	2.459116e-05	1.121859e-06
3.000000000000000e-03	2.459116e-05	1.677147e-06
4.000000000000000e-03	2.459116e-05	2.228678e-06
5.000000000000000e-03	2.459116e-05	2.776451e-06
6.000000000000000e-03	2.459116e-05	3.320470e-06
7.000000000000000e-03	2.459116e-05	3.860735e-06
8.000000000000000e-03	2.459116e-05	4.397249e-06
9.000000000000001e-03	2.459116e-05	4.930012e-06
1.000000000000000e-02	2.459116e-05	5.459028e-06
1.100000000000000e-02	2.459116e-05	5.984298e-06
1.200000000000000e-02	2.459116e-05	6.505823e-06
1.300000000000000e-02	2.459116e-05	7.023605e-06
1.400000000000001e-02	2.459116e-05	7.537647e-06
1.500000000000001e-02	2.459116e-05	8.047950e-06
1.600000000000001e-02	2.459116e-05	8.554516e-06
1.700000000000001e-02	2.459116e-05	9.057348e-06
1.800000000000001e-02	2.459116e-05	9.556446e-06
1.900000000000001e-02	2.459116e-05	1.005181e-05
2.000000000000001e-02	2.459116e-05	1.054345e-05
2.100000000000001e-02	2.459116e-05	1.103137e-05
2.200000000000001e-02	2.459116e-05	1.151556e-05
2.300000000000001e-02	2.459116e-05	1.199602e-05
2.400000000000001e-02	2.459116e-05	1.247277e-05
2.500000000000002e-02	2.459116e-05	1.294580e-05
2.600000000000002e-02	2.459116e-05	1.341511e-05
2.700000000000002e-02	2.459116e-05	1.388071e-05
2.800000000000002e-02	2.459116e-05	1.434260e-05
2.900000000000002e-02	2.459116e-05	1.480078e-05
3.000000000000002e-02	2.459116e-05	1.525526e-05
3.100000000000002e-02	2.459116e-05	1.570604e-05
3.200000000000002e-02	2.459116e-05	1.615311e-05
3.300000000000002e-02	2.459116e-05	1.659649e-05
3.400000000000002e-02	2.459116e-05	1.703617e-05
3.500000000000002e-02	2.459116e-05	1.747216e-05
3.600000000000003e-02	2.459116e-05	1.790446e-05
3.700000000000003e-02	2.459116e-05	1.833308e-05
3.800000000000003e-02	2.459116e-05	1.875801e-05
3.900000000000003e-02	2.459116e-05	1.917926e-05
4.000000000000003e-02	2.459116e-05	1.959684e-05
4.100000000000003e-02	2.459116e-05	2.001074e-05
4.200000000000003e-02	2.459116e-05	2.042097e-05
4.300000000000003e-02	2.459116e-05	2.082754e-05
4.400000000000003e-02	2.459116e-05	2.123044e-05
4.500000000000003e-02	2.459116e-05	2.162968e-05
4.600000000000003e-02	2.459116e-05	2.202527e-05
4.700000000000003e-02	2.459116e-05	2.241720e-05
4.800000000000004e-02	2.459116e-05	2.280548e-05
4.900000000000004e-02	2.459116e-05	2.319012e-05
5.000000000000004e-02	2.459116e-05	2.357112e-05
5.100000000000004e-02	2.459116e-05	2.394848e-05
5.200000000000004e-02	2.459116e-05	2.432220e-05
5.300000000000004e-02	2.459116e-05	2.469230e-05
5.400000000000004e-02	2.459116e-05	2.505878e-05
5.500000000000004e-02	2.459116e-05	2.542163e-05
5.600000000000004e-02	2.459116e-05	2.578088e-05
5.700000000000004e-02	2.459116e-05	2.613651e-05
5.800000000000004e-02	2.459116e-05	2.648853e-05
5.900000000000005e-02	2.459116e-05	2.683696e-05
6.000000000000005e-02	2.459116e-05	2.718179e-05
6.100000000000005e-02	2.459116e-05	2.752303e-05
6.200000000000005e-02	2.459116e-05	2.786068e-05
6.300000000000004e-02	2.459116e-05	2.819476e-05
6.400000000000004e-02	2.459116e-05	2.852526e-05
6.500000000000004e-02	2.459116e-05	2.885220e-05
6.600000000000004e-02	2.459116e-05	2.917558e-05
6.700000000000005e-02	2.459116e-05	2.949540e-05
6.800000000000005e-02	2.459116e-05	2.981167e-05
6.900000000000005e-02	2.459116e-05	3.012440e-05
7.000000000000005e-02	2.459116e-05	3.043360e-05
7.100000000000005e-02	2.459116e-05	3.073927e-05
7.200000000000005e-02	2.459116e-05	3.104141e-05
7.300000000000005e-02	2.459116e-05	3.134004e-05
7.400000000000005e-02	2.459116e-05	3.163517e-05
7.500000000000005e-02	2.459116e-05	3.192680e-05
7.600000000000005e-02	2.459116e-05	3.221494e-05
7.700000000000005e-02	2.459116e-05	3.249959e-05
7.800000000000006e-02	2.459116e-05	3.278078e-05
7.900000000000006e-02	2.459116e-05	3.305849e-05
8.000000000000006e-02	2.459116e-05	3.333275e-05
8.100000000000006e-02	2.459116e-05	3.360357e-05
8.200000000000006e-02	2.459116e-05	3.387095e-05
8.300000000000006e-02	2.459116e-05	3.413490e-05
8.400000000000006e-02	2.459116e-05	3.439543e-05
8.500000000000006e-02	2.459116e-05	3.465256e-05
8.600000000000006e-02	2.459116e-05	3.490629e-05
8.700000000000006e-02	2.459116e-05	3.515663e-05
8.800000000000006e-02	2.459116e-05	3.540360e-05
8.900000000000007e-02	2.459116e-05	3.564721e-05
9.000000000000007e-02	2.459116e-05	3.588746e-05
9.100000000000007e-02	2.459116e-05	3.612438e-05
9.200000000000007e-02	2.459116e-05	3.635798e-05
9.300000000000007e-02	2.459116e-05	3.658826e-05
9.400000000000007e-02	2.459116e-05	3.681524e-05
9.500000000000007e-02	2.459116e-05	3.703894e-05
9.600000000000007e-02	2.459116e-05	3.725936e-05
9.700000000000007e-02	2.459116e-05	3.747653e-05
9.800000000000007e-02	2.459116e-05	3.769045e-05
9.900000000000007e-02	2.459116e-05	3.790115e-05
1.000000000000001e-01	2.459116e-05	3.810863e-05
1.010000000000001e-01	2.459116e-05	3.831292e-05
1.020000000000001e-01	2.459116e-05	3.851404e-05
1.030000000000001e-01	2.459116e-05	3.871199e-05
1.040000000000001e-01	2.459116e-05	3.890679e-05
1.050000000000001e-01	2.459116e-05	3.909848e-05
1.060000000000001e-01	2.459116e-05	3.928705e-05
1.070000000000001e-01	2.459116e-05	3.947254e-05
1.080000000000001e-01	2.459116e-05	3.965495e-05
1.090000000000001e-01	2.459116e-05	3.983431e-05
1.100000000000001e-01	2.459116e-05	4.001065e-05
1.110000000000001e-01	2.459116e-05	4.018398e-05
1.120000000000001e-01	2.459116e-05	4.035432e-05
1.130000000000001e-01	2.459116e-05	4.052170e-05
1.140000000000001e-01	2.459116e-05	4.068613e-05
1.150000000000001e-01	2.459116e-05	4.084764e-05
1.160000000000001e-01	2.459116e-05	4.100625e-05
1.170000000000001e-01	2.459116e-05	4.116199e-05
1.180000000000001e-01	2.459116e-05	4.131488e-05
1.190000000000001e-01	2.459116e-05	4.146495e-05
1.200000000000001e-01	2.459116e-05	4.161222e-05
1.210000000000001e-01	2.459116e-05	4.175672e-05
1.220000000000001e-01	2.459116e-05	4.189847e-05
1.230000000000001e-01	2.459116e-05	4.203750e-05
1.240000000000001e-01	2.459116e-05	4.217384e-05
1.250000000000001e-01	2.459116e-05	4.230751e-05
1.260000000000001e-01	2.459116e-05	4.243855e-05
1.270000000000001e-01	2.459116e-05	4.256698e-05
1.280000000000001e-01	2.459116e-05	4.269283e-05
1.290000000000001e-01	2.459116e-05	4.281613e-05
1.300000000000001e-01	2.459116e-05	4.293692e-05
1.310000000000001e-01	2.459116e-05	4.305521e-05
1.320000000000001e-01	2.459116e-05	4.317105e-05
1.330000000000001e-01	2.459116e-05	4.328446e-05
1.340000000000001e-01	2.459116e-05	4.339548e-05
1.350000000000001e-01	2.459116e-05	4.350414e-05
1.360000000000001e-01	2.459116e-05	4.361047e-05
1.370000000000001e-01	2.459116e-05	4.371450e-05
1.380000000000001e-01	2.459116e-05	4.381627e-05
1.390000000000001e-01	2.459116e-05	4.391581e-05
1.400000000000001e-01	2.459116e-05	4.401315e-05
1.410000000000001e-01	2.459116e-05	4.410833e-05
1.420000000000001e-01	2.459116e-05	4.420138e-05
1.430000000000001e-01	2.459116e-05	4.429233e-05
1.440000000000001e-01	2.459116e-05	4.438122e-05
1.450000000000001e-01	2.459116e-05	4.446809e-05
1.460000000000001e-01	2.459116e-05	4.455297e-05
1.470000000000001e-01	2.459116e-05	4.463589e-05
1.480000000000001e-01	2.459116e-05	4.471689e-05
1.490000000000001e-01	2.459116e-05	4.479600e-05
1.500000000000001e-01	2.459116e-05	4.487326e-05
1.510000000000001e-01	2.459116e-05	4.494870e-05
1.520000000000001e-01	2.459116e-05	4.502236e-05
1.530000000000001e-01	2.459116e-05	4.509427e-05
1.540000000000001e-01	2.459116e-05	4.516447e-05
1.550000000000001e-01	2.459116e-05	4.523299e-05
1.560000000000001e-01	2.459116e-05	4.529986e-05
1.570000000000001e-01	2.459116e-05	4.536513e-05
1.580000000000001e-01	2.459116e-05	4.542882e-05
1.590000000000001e-01	2.459116e-05	4.549096e-05
1.600000000000001e-01	2.459116e-05	4.555159e-05
1.610000000000001e-01	2.459116e-05	4.561076e-05
1.620000000000001e-01	2.459116e-05	4.566847e-05
1.630000000000001e-01	2.459116e-05	4.572477e-05
1.640000000000001e-01	2.459116e-05	4.577970e-05
1.650000000000001e-01	2.459116e-05	4.583328e-05
1.660000000000001e-01	2.459116e-05	4.588554e-05
1.670000000000001e-01	2.459116e-05	4.593652e-05
1.680000000000001e-01	2.459116e-05	4.598625e-05
1.690000000000001e-01	2.459116e-05	4.603475e-05
1.700000000000001e-01	2.459116e-05	4.608206e-05
1.710000000000001e-01	2.459116e-05	4.612820e-05
1.720000000000001e-01	2.459116e-05	4.617321e-05
1.730000000000001e-01	2.459116e-05	4.621711e-05
1.740000000000001e-01	2.459116e-05	4.625993e-05
1.750000000000001e-01	2.459116e-05	4.630171e-05
1.760000000000001e-01	2.459116e-05	4.634245e-05
1.770000000000001e-01	2.459116e-05	4.638220e-05
1.780000000000001e-01	2.459116e-05	4.642098e-05
1.790000000000001e-01	2.459116e-05	4.645882e-05
1.800000000000001e-01	2.459116e-05	4.649572e-05
1.810000000000001e-01	2.459116e-05	4.653174e-05
1.820000000000001e-01	2.459116e-05	4.656688e-05
1.830000000000001e-01	2.459116e-05	4.660117e-05
1.840000000000001e-01	2.459116e-05	4.663464e-05
1.850000000000001e-01	2.459116e-05	4.666730e-05
1.860000000000001e-01	2.459116e-05	4.669917e-05
1.870000000000001e-01	2.459116e-05	4.673029e-05
1.880000000000001e-01	2.459116e-05	4.676067e-05
1.890000000000001e-01	2.459116e-05	4.679033e-05
1.900000000000001e-01	2.459116e-05	4.681929e-05
1.910000000000001e-01	2.459116e-05	4.684757e-05
1.920000000000001e-01	2.459116e-05	4.687518e-05
1.930000000000001e-01	2.459116e-05	4.690216e-05
1.940000000000001e-01	2.459116e-05	4.692851e-05
1.950000000000001e-01	2.459116e-05	4.695425e-05
1.960000000000001e-01	2.459116e-05	4.697940e-05
1.970000000000001e-01	2.459116e-05	4.700398e-05
1.980000000000001e-01	2.459116e-05	4.702800e-05
1.990000000000001e-01	2.459116e-05	4.705148e-05
2.000000000000001e-01	2.459116e-05	4.707443e-05
2.010000000000002e-01	2.459116e-05	4.709687e-05
2.020000000000002e-01	2.459116e-05	4.711881e-05
2.030000000000002e-01	2.459116e-05	4.714027e-05
2.040000000000002e-01	2.459116e-05	4.716126e-05
2.050000000000002e-01	2.459116e-05	4.718179e-05
2.060000000000002e-01	2.459116e-05	4.720189e-05
2.070000000000002e-01	2.459116e-05	4.722155e-05
2.080000000000002e-01	2.459116e-05	4.724079e-05
2.090000000000002e-01	2.459116e-05	4.725962e-05
2.100000000000002e-01	2.459116e-05	4.727806e-05
2.110000000000002e-01	2.459116e-05	4.729611e-05
2.120000000000002e-01	2.459116e-05	4.731379e-05
2.130000000000002e-01	2.459116e-05	4.733111e-05
2.140000000000002e-01	2.459116e-05	4.734807e-05
2.150000000000002e-01	2.459116e-05	4.736469e-05
2.160000000000002e-01	2.459116e-05	4.738098e-05
2.170000000000002e-01	2.459116e-05	4.739694e-05
