v_in	V(u_out)
2.430000000000002e-01	1.798680e+00
2.440000000000002e-01	1.798681e+00
2.450000000000002e-01	1.798682e+00
2.460000000000002e-01	1.798683e+00
2.470000000000002e-01	1.798684e+00
2.480000000000002e-01	1.798684e+00
2.490000000000002e-01	1.798685e+00
2.500000000000002e-01	1.798686e+00
2.510000000000002e-01	1.798687e+00
2.520000000000002e-01	1.798688e+00
2.530000000000002e-01	1.798689e+00
2.540000000000002e-01	1.798690e+00
2.550000000000002e-01	1.798690e+00
2.560000000000002e-01	1.798691e+00
2.570000000000002e-01	1.798692e+00
2.580000000000002e-01	1.798693e+00
2.590000000000002e-01	1.798694e+00
2.600000000000002e-01	1.798695e+00
2.610000000000002e-01	1.798696e+00
2.620000000000002e-01	1.798696e+00
2.630000000000002e-01	1.798697e+00
2.640000000000002e-01	1.798698e+00
2.650000000000002e-01	1.798699e+00
2.660000000000002e-01	1.798700e+00
2.670000000000002e-01	1.798701e+00
2.680000000000002e-01	1.798702e+00
2.690000000000002e-01	1.798702e+00
2.700000000000002e-01	1.798703e+00
2.710000000000002e-01	1.798704e+00
2.720000000000002e-01	1.798705e+00
2.730000000000002e-01	1.798706e+00
2.740000000000002e-01	1.798707e+00
2.750000000000002e-01	1.798707e+00
2.760000000000002e-01	1.798708e+00
2.770000000000002e-01	1.798709e+00
2.780000000000002e-01	1.798710e+00
2.790000000000002e-01	1.798711e+00
2.800000000000002e-01	1.798712e+00
2.810000000000002e-01	1.798713e+00
2.820000000000002e-01	1.798713e+00
2.830000000000002e-01	1.798714e+00
2.840000000000002e-01	1.798715e+00
2.850000000000002e-01	1.798716e+00
2.860000000000002e-01	1.798717e+00
2.870000000000002e-01	1.798718e+00
2.880000000000002e-01	1.798718e+00
2.890000000000002e-01	1.798719e+00
2.900000000000002e-01	1.798720e+00
2.910000000000002e-01	1.798721e+00
2.920000000000002e-01	1.798722e+00
2.930000000000002e-01	1.798723e+00
2.940000000000002e-01	1.798724e+00
2.950000000000002e-01	1.798724e+00
2.960000000000002e-01	1.798725e+00
2.970000000000002e-01	1.798726e+00
2.980000000000002e-01	1.798727e+00
2.990000000000002e-01	1.798728e+00
3.000000000000002e-01	1.798729e+00
3.010000000000002e-01	1.798730e+00
3.020000000000002e-01	1.798730e+00
3.030000000000002e-01	1.798731e+00
3.040000000000002e-01	1.798732e+00
3.050000000000002e-01	1.798733e+00
3.060000000000002e-01	1.798734e+00
3.070000000000002e-01	1.798735e+00
3.080000000000002e-01	1.798735e+00
3.090000000000002e-01	1.798736e+00
3.100000000000002e-01	1.798737e+00
3.110000000000002e-01	1.798738e+00
3.120000000000002e-01	1.798739e+00
3.130000000000002e-01	1.798740e+00
3.140000000000002e-01	1.798741e+00
3.150000000000002e-01	1.798741e+00
3.160000000000002e-01	1.798742e+00
3.170000000000002e-01	1.798743e+00
3.180000000000002e-01	1.798744e+00
3.190000000000002e-01	1.798745e+00
3.200000000000002e-01	1.798746e+00
3.210000000000002e-01	1.798747e+00
3.220000000000002e-01	1.798747e+00
3.230000000000002e-01	1.798748e+00
3.240000000000002e-01	1.798749e+00
3.250000000000002e-01	1.798750e+00
3.260000000000002e-01	1.798751e+00
3.270000000000002e-01	1.798752e+00
3.280000000000002e-01	1.798753e+00
3.290000000000002e-01	1.798753e+00
3.300000000000002e-01	1.798754e+00
3.310000000000002e-01	1.798755e+00
3.320000000000002e-01	1.798756e+00
3.330000000000002e-01	1.798757e+00
3.340000000000002e-01	1.798758e+00
3.350000000000002e-01	1.798759e+00
3.360000000000002e-01	1.798759e+00
3.370000000000002e-01	1.798760e+00
3.380000000000002e-01	1.798761e+00
3.390000000000002e-01	1.798762e+00
3.400000000000002e-01	1.798763e+00
3.410000000000002e-01	1.798764e+00
3.420000000000002e-01	1.798764e+00
3.430000000000002e-01	1.798765e+00
3.440000000000003e-01	1.798766e+00
3.450000000000003e-01	1.798767e+00
3.460000000000003e-01	1.798768e+00
3.470000000000003e-01	1.798769e+00
3.480000000000003e-01	1.798770e+00
3.490000000000003e-01	1.798770e+00
3.500000000000003e-01	1.798771e+00
3.510000000000003e-01	1.798772e+00
3.520000000000003e-01	1.798773e+00
3.530000000000003e-01	1.798774e+00
3.540000000000003e-01	1.798775e+00
3.550000000000003e-01	1.798776e+00
3.560000000000003e-01	1.798776e+00
3.570000000000003e-01	1.798777e+00
3.580000000000003e-01	1.798778e+00
3.590000000000003e-01	1.798779e+00
3.600000000000003e-01	1.798780e+00
3.610000000000003e-01	1.798781e+00
3.620000000000003e-01	1.798781e+00
3.630000000000003e-01	1.798782e+00
3.640000000000003e-01	1.798783e+00
3.650000000000003e-01	1.798784e+00
3.660000000000003e-01	1.798785e+00
3.670000000000003e-01	1.798786e+00
3.680000000000003e-01	1.798787e+00
3.690000000000003e-01	1.798787e+00
3.700000000000003e-01	1.798788e+00
3.710000000000003e-01	1.798789e+00
3.720000000000003e-01	1.798790e+00
3.730000000000003e-01	1.798791e+00
3.740000000000003e-01	1.798792e+00
3.750000000000003e-01	1.798792e+00
3.760000000000003e-01	1.798793e+00
3.770000000000003e-01	1.798794e+00
3.780000000000003e-01	1.798795e+00
3.790000000000003e-01	1.798796e+00
3.800000000000003e-01	1.798797e+00
3.810000000000003e-01	1.798798e+00
3.820000000000003e-01	1.798798e+00
3.830000000000003e-01	1.798799e+00
3.840000000000003e-01	1.798800e+00
3.850000000000003e-01	1.798801e+00
3.860000000000003e-01	1.798802e+00
3.870000000000003e-01	1.798803e+00
3.880000000000003e-01	1.798804e+00
3.890000000000003e-01	1.798804e+00
3.900000000000003e-01	1.798805e+00
3.910000000000003e-01	1.798806e+00
3.920000000000003e-01	1.798807e+00
3.930000000000003e-01	1.798808e+00
3.940000000000003e-01	1.798809e+00
3.950000000000003e-01	1.798810e+00
3.960000000000003e-01	1.798810e+00
3.970000000000003e-01	1.798811e+00
3.980000000000003e-01	1.798812e+00
3.990000000000003e-01	1.798813e+00
4.000000000000003e-01	1.798814e+00
4.010000000000003e-01	1.798815e+00
4.020000000000003e-01	1.798815e+00
4.030000000000003e-01	1.798816e+00
4.040000000000003e-01	1.798817e+00
4.050000000000003e-01	1.798818e+00
4.060000000000003e-01	1.798819e+00
4.070000000000003e-01	1.798820e+00
4.080000000000003e-01	1.798821e+00
4.090000000000003e-01	1.798821e+00
4.100000000000003e-01	1.798822e+00
4.110000000000003e-01	1.798823e+00
4.120000000000003e-01	1.798824e+00
4.130000000000003e-01	1.798825e+00
4.140000000000003e-01	1.798826e+00
4.150000000000003e-01	1.798827e+00
4.160000000000003e-01	1.798827e+00
4.170000000000003e-01	1.798828e+00
4.180000000000003e-01	1.798829e+00
4.190000000000003e-01	1.798830e+00
4.200000000000003e-01	1.798831e+00
4.210000000000003e-01	1.798832e+00
4.220000000000003e-01	1.798832e+00
4.230000000000003e-01	1.798833e+00
4.240000000000003e-01	1.798834e+00
4.250000000000003e-01	1.798835e+00
4.260000000000003e-01	1.798836e+00
4.270000000000003e-01	1.798837e+00
4.280000000000003e-01	1.798838e+00
4.290000000000003e-01	1.798838e+00
4.300000000000003e-01	1.798839e+00
4.310000000000003e-01	1.798840e+00
4.320000000000003e-01	1.798841e+00
4.330000000000003e-01	1.798842e+00
4.340000000000003e-01	1.798843e+00
4.350000000000003e-01	1.798844e+00
4.360000000000003e-01	1.798844e+00
4.370000000000003e-01	1.798845e+00
4.380000000000003e-01	1.798846e+00
4.390000000000003e-01	1.798847e+00
4.400000000000003e-01	1.798848e+00
4.410000000000003e-01	1.798849e+00
4.420000000000003e-01	1.798849e+00
4.430000000000003e-01	1.798850e+00
4.440000000000003e-01	1.798851e+00
4.450000000000003e-01	1.798852e+00
4.460000000000003e-01	1.798853e+00
4.470000000000003e-01	1.798854e+00
4.480000000000003e-01	1.798855e+00
4.490000000000003e-01	1.798855e+00
4.500000000000003e-01	1.798856e+00
4.510000000000003e-01	1.798857e+00
4.520000000000003e-01	1.798858e+00
4.530000000000003e-01	1.798859e+00
4.540000000000003e-01	1.798860e+00
4.550000000000003e-01	1.798861e+00
4.560000000000003e-01	1.798861e+00
4.570000000000004e-01	1.798862e+00
4.580000000000004e-01	1.798863e+00
4.590000000000004e-01	1.798864e+00
4.600000000000004e-01	1.798865e+00
4.610000000000004e-01	1.798866e+00
4.620000000000004e-01	1.798867e+00
4.630000000000004e-01	1.798867e+00
4.640000000000004e-01	1.798868e+00
4.650000000000004e-01	1.798869e+00
4.660000000000004e-01	1.798870e+00
4.670000000000004e-01	1.798871e+00
4.680000000000004e-01	1.798872e+00
4.690000000000004e-01	1.798872e+00
4.700000000000004e-01	1.798873e+00
4.710000000000004e-01	1.798874e+00
4.720000000000004e-01	1.798875e+00
4.730000000000004e-01	1.798876e+00
4.740000000000004e-01	1.798877e+00
4.750000000000004e-01	1.798877e+00
4.760000000000004e-01	1.798878e+00
4.770000000000004e-01	1.798879e+00
4.780000000000004e-01	1.798880e+00
4.790000000000004e-01	1.798881e+00
4.800000000000004e-01	1.798882e+00
4.810000000000004e-01	1.798883e+00
4.820000000000004e-01	1.798883e+00
4.830000000000004e-01	1.798884e+00
4.840000000000004e-01	1.798885e+00
4.850000000000004e-01	1.798886e+00
4.860000000000004e-01	1.798887e+00
4.870000000000004e-01	1.798888e+00
4.880000000000004e-01	1.798889e+00
4.890000000000004e-01	1.798889e+00
4.900000000000004e-01	1.798890e+00
4.910000000000004e-01	1.798891e+00
4.920000000000004e-01	1.798892e+00
4.930000000000004e-01	1.798893e+00
4.940000000000004e-01	1.798894e+00
4.950000000000004e-01	1.798895e+00
4.960000000000004e-01	1.798895e+00
4.970000000000004e-01	1.798896e+00
4.980000000000004e-01	1.798897e+00
4.990000000000004e-01	1.798898e+00
5.000000000000003e-01	1.798899e+00
5.010000000000003e-01	1.798900e+00
5.020000000000003e-01	1.798900e+00
5.030000000000003e-01	1.798901e+00
5.040000000000003e-01	1.798902e+00
5.050000000000003e-01	1.798903e+00
5.060000000000003e-01	1.798904e+00
5.070000000000003e-01	1.798905e+00
5.080000000000003e-01	1.798905e+00
5.090000000000003e-01	1.798906e+00
5.100000000000003e-01	1.798907e+00
5.110000000000003e-01	1.798908e+00
5.120000000000003e-01	1.798909e+00
5.130000000000003e-01	1.798910e+00
5.140000000000003e-01	1.798911e+00
5.150000000000003e-01	1.798911e+00
5.160000000000003e-01	1.798912e+00
5.170000000000003e-01	1.798913e+00
5.180000000000003e-01	1.798914e+00
5.190000000000003e-01	1.798915e+00
5.200000000000004e-01	1.798916e+00
5.210000000000004e-01	1.798917e+00
5.220000000000004e-01	1.798917e+00
5.230000000000004e-01	1.798918e+00
5.240000000000004e-01	1.798919e+00
5.250000000000004e-01	1.798920e+00
5.260000000000004e-01	1.798921e+00
5.270000000000004e-01	1.798922e+00
5.280000000000004e-01	1.798923e+00
5.290000000000004e-01	1.798923e+00
5.300000000000004e-01	1.798924e+00
5.310000000000004e-01	1.798925e+00
5.320000000000004e-01	1.798926e+00
5.330000000000004e-01	1.798927e+00
5.340000000000004e-01	1.798928e+00
5.350000000000004e-01	1.798928e+00
5.360000000000004e-01	1.798929e+00
5.370000000000004e-01	1.798930e+00
5.380000000000004e-01	1.798931e+00
5.390000000000004e-01	1.798932e+00
5.400000000000004e-01	1.798933e+00
5.410000000000004e-01	1.798934e+00
5.420000000000004e-01	1.798934e+00
5.430000000000004e-01	1.798935e+00
5.440000000000004e-01	1.798936e+00
5.450000000000004e-01	1.798937e+00
5.460000000000004e-01	1.798938e+00
5.470000000000004e-01	1.798939e+00
5.480000000000004e-01	1.798939e+00
5.490000000000004e-01	1.798940e+00
5.500000000000004e-01	1.798941e+00
5.510000000000004e-01	1.798942e+00
5.520000000000004e-01	1.798943e+00
5.530000000000004e-01	1.798944e+00
5.540000000000004e-01	1.798945e+00
5.550000000000004e-01	1.798945e+00
5.560000000000004e-01	1.798946e+00
5.570000000000004e-01	1.798947e+00
5.580000000000004e-01	1.798948e+00
5.590000000000004e-01	1.798949e+00
5.600000000000004e-01	1.798950e+00
5.610000000000004e-01	1.798951e+00
5.620000000000004e-01	1.798951e+00
5.630000000000004e-01	1.798952e+00
5.640000000000004e-01	1.798953e+00
5.650000000000004e-01	1.798954e+00
5.660000000000004e-01	1.798955e+00
5.670000000000004e-01	1.798956e+00
5.680000000000004e-01	1.798957e+00
5.690000000000004e-01	1.798957e+00
5.700000000000004e-01	1.798958e+00
5.710000000000004e-01	1.798959e+00
5.720000000000004e-01	1.798960e+00
5.730000000000004e-01	1.798961e+00
5.740000000000004e-01	1.798962e+00
5.750000000000004e-01	1.798962e+00
5.760000000000004e-01	1.798963e+00
5.770000000000004e-01	1.798964e+00
5.780000000000004e-01	1.798965e+00
5.790000000000004e-01	1.798966e+00
5.800000000000004e-01	1.798967e+00
5.810000000000004e-01	1.798967e+00
5.820000000000004e-01	1.798968e+00
5.830000000000004e-01	1.798969e+00
5.840000000000004e-01	1.798970e+00
5.850000000000004e-01	1.798971e+00
5.860000000000004e-01	1.798972e+00
5.870000000000004e-01	1.798973e+00
5.880000000000004e-01	1.798973e+00
5.890000000000004e-01	1.798974e+00
5.900000000000004e-01	1.798975e+00
5.910000000000004e-01	1.798976e+00
5.920000000000004e-01	1.798977e+00
5.930000000000004e-01	1.798978e+00
5.940000000000004e-01	1.798979e+00
5.950000000000004e-01	1.798979e+00
5.960000000000004e-01	1.798980e+00
5.970000000000004e-01	1.798981e+00
5.980000000000004e-01	1.798982e+00
5.990000000000004e-01	1.798983e+00
6.000000000000004e-01	1.798984e+00
6.010000000000004e-01	1.798985e+00
6.020000000000004e-01	1.798985e+00
6.030000000000004e-01	1.798986e+00
6.040000000000004e-01	1.798987e+00
6.050000000000004e-01	1.798988e+00
6.060000000000004e-01	1.798989e+00
6.070000000000004e-01	1.798990e+00
6.080000000000004e-01	1.798990e+00
6.090000000000004e-01	1.798991e+00
6.100000000000004e-01	1.798992e+00
6.110000000000004e-01	1.798993e+00
6.120000000000004e-01	1.798994e+00
6.130000000000004e-01	1.798995e+00
6.140000000000004e-01	1.798995e+00
6.150000000000004e-01	1.798996e+00
6.160000000000004e-01	1.798997e+00
6.170000000000004e-01	1.798998e+00
6.180000000000004e-01	1.798999e+00
6.190000000000004e-01	1.799000e+00
6.200000000000004e-01	1.799001e+00
6.210000000000004e-01	1.799001e+00
6.220000000000004e-01	1.799002e+00
6.230000000000004e-01	1.799003e+00
6.240000000000004e-01	1.799004e+00
6.250000000000004e-01	1.799005e+00
6.260000000000004e-01	1.799006e+00
6.270000000000004e-01	1.799007e+00
6.280000000000004e-01	1.799007e+00
6.290000000000004e-01	1.799008e+00
6.300000000000004e-01	1.799009e+00
6.310000000000004e-01	1.799010e+00
6.320000000000005e-01	1.799011e+00
6.330000000000005e-01	1.799012e+00
6.340000000000005e-01	1.799012e+00
6.350000000000005e-01	1.799013e+00
6.360000000000005e-01	1.799014e+00
6.370000000000005e-01	1.799015e+00
6.380000000000005e-01	1.799016e+00
6.390000000000005e-01	1.799017e+00
6.400000000000005e-01	1.799018e+00
6.410000000000005e-01	1.799018e+00
6.420000000000005e-01	1.799019e+00
6.430000000000005e-01	1.799020e+00
6.440000000000005e-01	1.799021e+00
6.450000000000005e-01	1.799022e+00
6.460000000000005e-01	1.799023e+00
6.470000000000005e-01	1.799024e+00
6.480000000000005e-01	1.799024e+00
6.490000000000005e-01	1.799025e+00
6.500000000000005e-01	1.799026e+00
6.510000000000005e-01	1.799027e+00
6.520000000000005e-01	1.799028e+00
6.530000000000005e-01	1.799029e+00
6.540000000000005e-01	1.799029e+00
6.550000000000005e-01	1.799030e+00
6.560000000000005e-01	1.799031e+00
6.570000000000005e-01	1.799032e+00
6.580000000000005e-01	1.799033e+00
6.590000000000005e-01	1.799034e+00
6.600000000000005e-01	1.799034e+00
6.610000000000005e-01	1.799035e+00
6.620000000000005e-01	1.799036e+00
6.630000000000005e-01	1.799037e+00
6.640000000000005e-01	1.799038e+00
6.650000000000005e-01	1.799039e+00
6.660000000000005e-01	1.799039e+00
6.670000000000005e-01	1.799040e+00
6.680000000000005e-01	1.799041e+00
6.690000000000005e-01	1.799042e+00
6.700000000000005e-01	1.799043e+00
6.710000000000005e-01	1.799044e+00
6.720000000000005e-01	1.799045e+00
6.730000000000005e-01	1.799045e+00
6.740000000000005e-01	1.799046e+00
6.750000000000005e-01	1.799047e+00
6.760000000000005e-01	1.799048e+00
6.770000000000005e-01	1.799049e+00
6.780000000000005e-01	1.799050e+00
6.790000000000005e-01	1.799051e+00
6.800000000000005e-01	1.799051e+00
6.810000000000005e-01	1.799052e+00
6.820000000000005e-01	1.799053e+00
6.830000000000005e-01	1.799054e+00
6.840000000000005e-01	1.799055e+00
6.850000000000005e-01	1.799056e+00
6.860000000000005e-01	1.799056e+00
6.870000000000005e-01	1.799057e+00
6.880000000000005e-01	1.799058e+00
6.890000000000005e-01	1.799059e+00
6.900000000000005e-01	1.799060e+00
6.910000000000005e-01	1.799061e+00
6.920000000000005e-01	1.799062e+00
6.930000000000005e-01	1.799062e+00
6.940000000000005e-01	1.799063e+00
6.950000000000005e-01	1.799064e+00
6.960000000000005e-01	1.799065e+00
6.970000000000005e-01	1.799066e+00
6.980000000000005e-01	1.799067e+00
6.990000000000005e-01	1.799067e+00
7.000000000000005e-01	1.799068e+00
7.010000000000005e-01	1.799069e+00
7.020000000000005e-01	1.799070e+00
7.030000000000005e-01	1.799071e+00
7.040000000000005e-01	1.799072e+00
7.050000000000005e-01	1.799072e+00
7.060000000000005e-01	1.799073e+00
7.070000000000005e-01	1.799074e+00
7.080000000000005e-01	1.799075e+00
7.090000000000005e-01	1.799076e+00
7.100000000000005e-01	1.799077e+00
7.110000000000005e-01	1.799078e+00
7.120000000000005e-01	1.799078e+00
7.130000000000005e-01	1.799079e+00
7.140000000000005e-01	1.799080e+00
7.150000000000005e-01	1.799081e+00
7.160000000000005e-01	1.799082e+00
7.170000000000005e-01	1.799083e+00
7.180000000000005e-01	1.799083e+00
7.190000000000005e-01	1.799084e+00
7.200000000000005e-01	1.799085e+00
7.210000000000005e-01	1.799086e+00
7.220000000000005e-01	1.799087e+00
7.230000000000005e-01	1.799088e+00
7.240000000000005e-01	1.799088e+00
7.250000000000005e-01	1.799089e+00
7.260000000000005e-01	1.799090e+00
7.270000000000005e-01	1.799091e+00
7.280000000000005e-01	1.799092e+00
7.290000000000005e-01	1.799093e+00
7.300000000000005e-01	1.799093e+00
7.310000000000005e-01	1.799094e+00
7.320000000000005e-01	1.799095e+00
7.330000000000005e-01	1.799096e+00
7.340000000000005e-01	1.799097e+00
