vout	Id(M1)	Id(M2)
0.000000000000000e+00	2.459134e-05	0.000000e+00
1.000000000000000e-03	2.459116e-05	5.647921e-07
2.000000000000000e-03	2.459116e-05	1.125809e-06
3.000000000000000e-03	2.459116e-05	1.683053e-06
4.000000000000000e-03	2.459116e-05	2.236526e-06
5.000000000000000e-03	2.459116e-05	2.786228e-06
6.000000000000000e-03	2.459116e-05	3.332163e-06
7.000000000000000e-03	2.459116e-05	3.874331e-06
8.000000000000000e-03	2.459116e-05	4.412734e-06
9.000000000000001e-03	2.459116e-05	4.947373e-06
1.000000000000000e-02	2.459116e-05	5.478252e-06
1.100000000000000e-02	2.459116e-05	6.005371e-06
1.200000000000000e-02	2.459116e-05	6.528733e-06
1.300000000000000e-02	2.459116e-05	7.048338e-06
1.400000000000001e-02	2.459116e-05	7.564191e-06
1.500000000000001e-02	2.459116e-05	8.076290e-06
1.600000000000001e-02	2.459116e-05	8.584640e-06
1.700000000000001e-02	2.459116e-05	9.089243e-06
1.800000000000001e-02	2.459116e-05	9.590099e-06
1.900000000000001e-02	2.459116e-05	1.008721e-05
2.000000000000001e-02	2.459116e-05	1.058058e-05
2.100000000000001e-02	2.459116e-05	1.107021e-05
2.200000000000001e-02	2.459116e-05	1.155611e-05
2.300000000000001e-02	2.459116e-05	1.203826e-05
2.400000000000001e-02	2.459116e-05	1.251669e-05
2.500000000000002e-02	2.459116e-05	1.299139e-05
2.600000000000002e-02	2.459116e-05	1.346235e-05
2.700000000000002e-02	2.459116e-05	1.392959e-05
2.800000000000002e-02	2.459116e-05	1.439311e-05
2.900000000000002e-02	2.459116e-05	1.485291e-05
3.000000000000002e-02	2.459116e-05	1.530898e-05
3.100000000000002e-02	2.459116e-05	1.576134e-05
3.200000000000002e-02	2.459116e-05	1.620999e-05
3.300000000000002e-02	2.459116e-05	1.665493e-05
3.400000000000002e-02	2.459116e-05	1.709616e-05
3.500000000000002e-02	2.459116e-05	1.753369e-05
3.600000000000003e-02	2.459116e-05	1.796751e-05
3.700000000000003e-02	2.459116e-05	1.839764e-05
3.800000000000003e-02	2.459116e-05	1.882407e-05
3.900000000000003e-02	2.459116e-05	1.924680e-05
4.000000000000003e-02	2.459116e-05	1.966585e-05
4.100000000000003e-02	2.459116e-05	2.008121e-05
4.200000000000003e-02	2.459116e-05	2.049288e-05
4.300000000000003e-02	2.459116e-05	2.090088e-05
4.400000000000003e-02	2.459116e-05	2.130520e-05
4.500000000000003e-02	2.459116e-05	2.170585e-05
4.600000000000003e-02	2.459116e-05	2.210283e-05
4.700000000000003e-02	2.459116e-05	2.249614e-05
4.800000000000004e-02	2.459116e-05	2.288579e-05
4.900000000000004e-02	2.459116e-05	2.327178e-05
5.000000000000004e-02	2.459116e-05	2.365412e-05
