vcc	Id(Mp1)	Id(Mp2)	Id(Mp3)
1.000000000000000e+00	1.384056e-07	1.135354e-05	1.689039e-05
1.001000000000000e+00	1.406824e-07	1.137748e-05	1.692712e-05
1.002000000000000e+00	1.430287e-07	1.140140e-05	1.696384e-05
1.003000000000000e+00	1.453968e-07	1.142534e-05	1.700058e-05
1.004000000000000e+00	1.478034e-07	1.144928e-05	1.703732e-05
1.004999999999999e+00	1.502491e-07	1.147323e-05	1.707408e-05
1.005999999999999e+00	1.527345e-07	1.149717e-05	1.711085e-05
1.006999999999999e+00	1.552603e-07	1.152113e-05	1.714762e-05
1.007999999999999e+00	1.578270e-07	1.154508e-05	1.718440e-05
1.008999999999999e+00	1.604354e-07	1.156904e-05	1.722119e-05
1.009999999999999e+00	1.630860e-07	1.159301e-05	1.725799e-05
1.010999999999999e+00	1.657796e-07	1.161697e-05	1.729480e-05
1.011999999999999e+00	1.685168e-07	1.164094e-05	1.733162e-05
1.012999999999999e+00	1.712983e-07	1.166492e-05	1.736845e-05
1.013999999999998e+00	1.741248e-07	1.168889e-05	1.740528e-05
1.014999999999998e+00	1.769969e-07	1.171287e-05	1.744212e-05
1.015999999999998e+00	1.799155e-07	1.173686e-05	1.747897e-05
1.016999999999998e+00	1.828811e-07	1.176085e-05	1.751583e-05
1.017999999999998e+00	1.858946e-07	1.178484e-05	1.755269e-05
1.018999999999998e+00	1.889567e-07	1.180883e-05	1.758957e-05
1.019999999999998e+00	1.920682e-07	1.183283e-05	1.762645e-05
1.020999999999998e+00	1.952297e-07	1.185682e-05	1.766333e-05
1.021999999999998e+00	1.984422e-07	1.188083e-05	1.770023e-05
1.022999999999997e+00	2.017063e-07	1.190483e-05	1.773713e-05
1.023999999999997e+00	2.050228e-07	1.192884e-05	1.777404e-05
1.024999999999997e+00	2.083926e-07	1.195285e-05	1.781095e-05
1.025999999999997e+00	2.118165e-07	1.197686e-05	1.784787e-05
1.026999999999997e+00	2.152953e-07	1.200087e-05	1.788480e-05
1.027999999999997e+00	2.188299e-07	1.202489e-05	1.792174e-05
1.028999999999997e+00	2.224210e-07	1.204891e-05	1.795868e-05
1.029999999999997e+00	2.260696e-07	1.207293e-05	1.799563e-05
1.030999999999997e+00	2.297766e-07	1.209696e-05	1.803259e-05
1.031999999999996e+00	2.335427e-07	1.212098e-05	1.806955e-05
1.032999999999996e+00	2.373691e-07	1.214501e-05	1.810651e-05
1.033999999999996e+00	2.412564e-07	1.216904e-05	1.814348e-05
1.034999999999996e+00	2.452057e-07	1.219307e-05	1.818046e-05
1.035999999999996e+00	2.492178e-07	1.221710e-05	1.821745e-05
1.036999999999996e+00	2.532938e-07	1.224114e-05	1.825444e-05
1.037999999999996e+00	2.574346e-07	1.226517e-05	1.829143e-05
1.038999999999996e+00	2.616411e-07	1.228921e-05	1.832843e-05
1.039999999999996e+00	2.659144e-07	1.231325e-05	1.836544e-05
1.040999999999995e+00	2.702554e-07	1.233729e-05	1.840244e-05
1.041999999999995e+00	2.746651e-07	1.236133e-05	1.843946e-05
1.042999999999995e+00	2.791446e-07	1.238537e-05	1.847648e-05
1.043999999999995e+00	2.836949e-07	1.240942e-05	1.851350e-05
1.044999999999995e+00	2.883171e-07	1.243346e-05	1.855053e-05
1.045999999999995e+00	2.930121e-07	1.245751e-05	1.858756e-05
1.046999999999995e+00	2.977811e-07	1.248155e-05	1.862460e-05
1.047999999999995e+00	3.026251e-07	1.250560e-05	1.866164e-05
1.048999999999995e+00	3.075453e-07	1.252965e-05	1.869868e-05
1.049999999999994e+00	3.125428e-07	1.255369e-05	1.873573e-05
1.050999999999994e+00	3.176186e-07	1.257774e-05	1.877278e-05
1.051999999999994e+00	3.227739e-07	1.260179e-05	1.880983e-05
1.052999999999994e+00	3.280099e-07	1.262584e-05	1.884689e-05
1.053999999999994e+00	3.333277e-07	1.264988e-05	1.888395e-05
