time	Id(Mp1)	Id(Mp2)	Id(Mp3)
3.140150669642860e-04	9.952771e-11	7.167469e-11	1.393070e-10
3.469391741071432e-04	9.679884e-11	6.947171e-11	1.355077e-10
3.798632812500003e-04	9.657435e-11	6.923135e-11	1.352042e-10
4.653822544642861e-04	9.468027e-11	6.772235e-11	1.325879e-10
5.509012276785719e-04	9.372457e-11	6.697533e-11	1.312849e-10
6.364202008928578e-04	9.370724e-11	6.699029e-11	1.312952e-10
7.219391741071435e-04	9.462828e-11	6.776724e-11	1.326189e-10
8.074581473214293e-04	9.648770e-11	6.930617e-11	1.352559e-10
8.929771205357152e-04	9.928548e-11	7.160709e-11	1.392062e-10
9.784960937500007e-04	1.030216e-10	7.466999e-11	1.444698e-10
9.794726562500006e-04	1.030584e-10	7.470005e-11	1.445216e-10
9.990039062499985e-04	1.038025e-10	7.530851e-11	1.455722e-10
9.999804687499984e-04	1.038401e-10	7.533930e-11	1.456254e-10
1.000000000000000e-03	1.038383e-10	7.533745e-11	1.456226e-10
